SequenceName	ClusterNumber
4	-1
47	-1
46	-1
1	-1
30	-1
34	1
33	1
35	1
32	1
31	1
2	-1
3	-1
16	-1
39	-1
40	2
38	2
14	3
13	3
12	3
50	4
49	4
48	4
53	5
52	5
51	5
28	6
29	6
27	6
26	6
25	6
24	6
23	6
22	6
19	6
18	6
17	6
21	7
20	7
36	-1
45	8
44	8
41	-1
56	9
55	9
54	9
9	9
8	9
6	9
11	9
10	9
7	9
5	9
15	-1
43	10
37	10
42	-1
