	5	6	7	8	9	10	11	54	55	56
5	1.0	0.9499735016106904	0.9800696387587963	0.962892604683684	0.957153135303599	0.9750343516282524	0.9746125082525197	0.9228296741004647	0.9217102877139496	0.9670855284027527
6	0.9499735016106904	1.0	0.928896582287061	0.9710465611475153	0.9570955372944522	0.9264127890964126	0.9248103452147124	0.8558833739869347	0.8571487178594114	0.9071526563796869
7	0.9800696387587963	0.928896582287061	1.0	0.9654372705879947	0.9706754712764151	0.9893108453314368	0.9858393772073513	0.9365420486541791	0.9362079865912546	0.9765678056264885
8	0.9628926046836841	0.9710465611475153	0.9654372705879947	1.0	0.9759658592677347	0.9708277820931769	0.9551608482305027	0.9055294678884502	0.903952636259363	0.949363453161633
9	0.9571531353035991	0.9570955372944522	0.9706754712764151	0.9759658592677349	1.0	0.9688158744700619	0.9567333355557643	0.9005068925980942	0.8946218524431924	0.945897414074797
10	0.9750343516282524	0.9264127890964123	0.9893108453314365	0.9708277820931768	0.9688158744700619	1.0	0.983845536879945	0.944318466488284	0.9489719692645769	0.9876815989888306
11	0.9746125082525197	0.9248103452147124	0.9858393772073514	0.9551608482305026	0.9567333355557643	0.9838455368799449	1.0	0.953990083012447	0.9582343777710806	0.977501538439769
54	0.9228296741004647	0.8558833739869347	0.9365420486541791	0.9055294678884502	0.9005068925980942	0.944318466488284	0.953990083012447	1.0	0.9974483579747173	0.9569281025465801
55	0.9217102877139496	0.8571487178594113	0.9362079865912546	0.903952636259363	0.8946218524431924	0.9489719692645768	0.9582343777710806	0.9974483579747174	1.0	0.9607740404398945
56	0.9670855284027527	0.9071526563796869	0.9765678056264885	0.9493634531616328	0.945897414074797	0.9876815989888306	0.977501538439769	0.9569281025465801	0.9607740404398945	1.0
