BACTERIA,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
Smaragdicoccus niigatensis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Smaragdicoccus,Smaragdicoccus niigatensis
Tomitella biformata,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,,Tomitella,Tomitella biformata
Tomitella fengzijianii,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,,Tomitella,Tomitella fengzijianii
Tomitella gaofuii,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,,Tomitella,Tomitella gaofuii
Tsukamurella paurometabola,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella paurometabola
Tsukamurella pulmonis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella pulmonis
Tsukamurella spumae,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella spumae
Williamsia deligens,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Williamsia,Williamsia deligens
Williamsia maris,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Williamsia,Williamsia maris
Williamsia muralis,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Williamsia,Williamsia muralis
