	17	18	19	22	23	24	25	26	27	28	29
17	1.0	0.9791820990085163	0.9667570568109624	0.9225824354153263	0.895596673324136	0.9439334697994337	0.9391718933452636	0.9419587272118856	0.7794762467399207	0.9191752703141015	0.8695046888611175
18	0.9791820990085163	1.0	0.9254550477808916	0.8717068105110916	0.8411485011006723	0.9000031444772936	0.9005291887508057	0.8963148324089698	0.8457511001619852	0.8878748476620067	0.9179023064834227
19	0.9667570568109624	0.9254550477808916	1.0	0.9705578228560671	0.9589540697076963	0.9666139564420401	0.9621928577485036	0.9619835709873433	0.7279861068994782	0.9632624281750722	0.8350638183745543
22	0.9225824354153261	0.8717068105110916	0.9705578228560668	1.0	0.9884316292189806	0.9707036292822547	0.9655930753924732	0.9639999598555002	0.6466517651667794	0.9620655810492597	0.7651136740060307
23	0.895596673324136	0.8411485011006723	0.958954069707696	0.9884316292189806	1.0	0.9582185299048789	0.9477325437087635	0.9482460702220343	0.6210926032912362	0.9600934201849206	0.7437822419173539
24	0.9439334697994337	0.9000031444772936	0.9666139564420402	0.9707036292822547	0.9582185299048789	1.0	0.9853604889033327	0.9891194012775373	0.6952978001804463	0.9521597111717257	0.8194623646115695
25	0.9391718933452636	0.9005291887508057	0.9621928577485037	0.9655930753924732	0.9477325437087635	0.9853604889033327	1.0	0.9979934000629789	0.6914396140327536	0.9362163331348682	0.7967197977080615
26	0.9419587272118857	0.8963148324089698	0.9619835709873434	0.9639999598555002	0.9482460702220343	0.9891194012775373	0.9979934000629789	1.0	0.6931726781792239	0.9371673394658786	0.8036870112505814
27	0.7794762467399207	0.8457511001619852	0.7279861068994781	0.6466517651667796	0.6210926032912363	0.6952978001804463	0.6914396140327536	0.6931726781792239	1.0	0.7060099320283226	0.9583227378319265
28	0.9191752703141016	0.8878748476620067	0.9632624281750722	0.9620655810492595	0.9600934201849207	0.9521597111717256	0.9362163331348682	0.9371673394658787	0.7060099320283226	1.0	0.8175699751885326
29	0.8695046888611175	0.9179023064834226	0.8350638183745543	0.7651136740060307	0.7437822419173539	0.8194623646115695	0.7967197977080615	0.8036870112505814	0.9583227378319265	0.8175699751885326	1.0
