SequenceName	ClusterNumber
4	-1
47	-1
46	-1
1	-1
30	-1
2	-1
3	-1
31	-1
16	-1
39	-1
35	1
32	1
33	-1
34	-1
38	-1
40	-1
53	2
52	2
51	2
21	3
20	3
12	-1
14	4
13	4
48	-1
50	5
49	5
36	-1
41	-1
15	-1
28	-1
44	-1
45	-1
42	-1
56	-1
29	6
27	6
37	-1
43	-1
55	7
54	7
19	8
18	8
17	8
23	9
22	9
26	10
25	10
24	10
7	11
5	11
11	12
10	12
8	13
6	13
9	-1
