	5	6	7	8	9	10	11	54	55	56
5	1.0	0.9889970825087872	0.9969234380572947	0.9935220377846113	0.9910938411947326	0.9985374862183044	0.9980045571632487	0.9039982901156586	0.908713228501501	0.9256540734323605
6	0.9889970825087872	1.0	0.98122227136861	0.9967989353015957	0.9936795725190085	0.9857660611856935	0.9821273218913761	0.9143107988340404	0.9201937661471157	0.9400935165639088
7	0.9969234380572947	0.9812222713686101	1.0	0.9872177040873189	0.9828653874861292	0.9983136646550685	0.9991218557989971	0.8903443270052833	0.8945178656103658	0.9089584696145911
8	0.9935220377846113	0.9967989353015957	0.9872177040873191	1.0	0.9959933779047153	0.9904140270008828	0.9895426347463834	0.9132392715639073	0.9169197391574704	0.9338846770666244
9	0.9910938411947326	0.9936795725190085	0.9828653874861293	0.9959933779047153	1.0	0.9873962314110959	0.9856534282380542	0.9215416864845039	0.9260146887339183	0.9483070226623432
10	0.9985374862183044	0.9857660611856934	0.9983136646550685	0.9904140270008829	0.9873962314110959	1.0	0.9990176634159021	0.9019430706137509	0.9054246264528933	0.9189663912066413
11	0.9980045571632487	0.9821273218913761	0.9991218557989971	0.9895426347463833	0.9856534282380541	0.9990176634159021	1.0	0.8959648398387903	0.9000399116608138	0.9156496659107568
54	0.9039982901156587	0.9143107988340405	0.8903443270052832	0.9132392715639073	0.9215416864845039	0.901943070613751	0.8959648398387903	1.0	0.9978699175916113	0.9775720143330331
55	0.908713228501501	0.9201937661471157	0.8945178656103658	0.9169197391574704	0.9260146887339183	0.9054246264528933	0.9000399116608138	0.9978699175916114	1.0	0.9735341050753785
56	0.9256540734323605	0.9400935165639087	0.9089584696145911	0.9338846770666244	0.9483070226623432	0.9189663912066413	0.9156496659107568	0.9775720143330332	0.9735341050753785	1.0
